State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
91	0.34790	0.46593	0.39760	0.43487	0.47836	0.40381	0.37896	0.38517	0.42866	0.42245	0.47215	0.37276	0.39761	0.41004	0.41004	0.39761	0.36655	0.40382	0.41625	0.60263	0.58399
92	0.37262	0.38382	0.36701	0.34180	0.33339	0.39783	0.38943	0.38382	0.39783	0.38662	0.50709	0.43427	0.41185	0.40345	0.46789	0.50431	0.50151	0.48750	0.54073	0.53793	0.49030
93	1.21580	1.06670	1.06670	1.10111	1.08964	1.41079	1.11258	1.02082	1.04376	1.03229	0.83730	1.11262	1.26173	1.26173	1.13556	1.27320	1.16997	1.34202	1.19291	1.23879	1.23879
94	0.55258	0.64205	0.73678	0.67889	0.62626	0.57890	0.54206	0.50522	0.53679	0.51574	0.62100	0.59471	0.56313	0.73154	0.71575	0.67365	0.73154	0.65260	0.69470	0.74207	0.83154
95	0.64917	0.51551	0.65871	0.62053	0.66826	0.62053	0.63962	0.71599	0.73508	0.64917	0.57279	0.70647	0.75421	0.69692	0.81149	0.76375	0.70647	0.74466	0.73511	0.74466	0.76375
96	0.43323	0.42061	0.45426	0.40378	0.41220	0.40799	0.44164	0.46688	0.45846	0.46688	0.39117	0.46689	0.48372	0.44166	0.47531	0.39118	0.40801	0.42062	0.50054	0.53419	0.58887
97	1.25930	1.39303	1.27044	1.14785	1.05870	1.02527	1.02527	1.03641	1.18129	1.11442	0.95840	1.22591	1.31507	1.50453	1.64941	1.97260	1.90573	1.83887	2.24007	2.09519	2.22893
98	1.40754	1.54321	1.93325	1.95021	1.71279	1.64496	1.50929	1.39058	1.30579	1.52625	1.33971	1.67894	1.72981	1.88244	2.03508	2.10291	2.11987	2.39121	2.22162	2.17075	2.40817
99	1.37426	1.21331	1.03998	0.99046	1.01522	0.92856	1.01522	0.80475	0.85427	0.97808	1.39902	1.30003	1.32479	1.43622	1.42384	1.39908	1.69623	1.65908	1.75813	1.79528	1.80766
100	0.77586	0.73323	0.78012	0.64797	0.63944	0.58402	0.66928	0.67781	0.69486	0.78438	0.98474	0.77162	0.86967	0.96346	1.15956	1.12546	1.13399	1.24909	1.25335	1.41535	1.38551
